timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;359.426270;0;264485089_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.234407;45.474359
1.00;359.426270;0;264485089_0;6.476754;0.000000;1.376754;DEFAULT_VEHTYPE;9.234407;45.474371
2.00;359.426270;0;264485089_0;9.181714;0.000000;2.704960;DEFAULT_VEHTYPE;9.234407;45.474395
3.00;359.426270;0;264485089_0;13.324879;0.000000;4.143165;DEFAULT_VEHTYPE;9.234407;45.474433
3.00;359.426270;1;264485089_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.234407;45.474359
3.00;89.660807;3;329092952_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.227104;45.479234
4.00;359.426270;0;264485089_0;20.013068;0.000000;6.688188;DEFAULT_VEHTYPE;9.234406;45.474493
4.00;359.426270;1;264485089_0;5.775495;0.000000;0.675495;DEFAULT_VEHTYPE;9.234407;45.474365
4.00;89.660807;3;329092952_0;7.461558;0.000000;2.361558;DEFAULT_VEHTYPE;9.227134;45.479234
5.00;359.426270;0;264485089_0;28.387795;0.000000;8.374727;DEFAULT_VEHTYPE;9.234405;45.474568
5.00;359.426270;1;264485089_0;7.950100;0.000000;2.174605;DEFAULT_VEHTYPE;9.234407;45.474384
5.00;89.660807;3;329092952_0;11.186525;0.000000;3.724967;DEFAULT_VEHTYPE;9.227182;45.479234
5.00;359.208794;5;263965140#2_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.230050;45.477123
6.00;359.426270;0;264485089_0;38.816775;0.000000;10.428980;DEFAULT_VEHTYPE;9.234404;45.474662
6.00;359.426270;1;264485089_0;11.946279;0.000000;3.996179;DEFAULT_VEHTYPE;9.234407;45.474420
6.00;89.660807;3;329092952_0;16.530565;0.000000;5.344041;DEFAULT_VEHTYPE;9.227250;45.479234
6.00;359.208794;5;263965140#2_0;6.404631;0.000000;1.304631;DEFAULT_VEHTYPE;9.230050;45.477135
6.00;178.954203;6;-263965140#3_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.229984;45.478438
7.00;359.426270;0;264485089_0;50.840691;0.000000;12.023916;DEFAULT_VEHTYPE;9.234403;45.474770
7.00;359.426270;1;264485089_0;17.466994;0.000000;5.520715;DEFAULT_VEHTYPE;9.234406;45.474470
7.00;359.426270;2;264485089_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.234407;45.474359
7.00;89.660807;3;329092952_0;23.601502;0.000000;7.070937;DEFAULT_VEHTYPE;9.227340;45.479234
7.00;359.208794;5;263965140#2_0;9.367013;0.000000;2.962383;DEFAULT_VEHTYPE;9.230050;45.477161
7.00;178.954203;6;-263965140#3_0;6.814695;0.000000;1.714695;DEFAULT_VEHTYPE;9.229985;45.478422
7.00;358.954203;7;263965140#3_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.230040;45.477766
8.00;359.426270;0;264485089_0;64.845247;0.000000;14.004556;DEFAULT_VEHTYPE;9.234402;45.474896
8.00;359.426270;1;264485089_0;24.918675;0.000000;7.451681;DEFAULT_VEHTYPE;9.234406;45.474537
