timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;359.29;t_1;19786541#0_0;5.10;0.00;13.89;DEFAULT_VEHTYPE;264.91;31.16
0.00;359.43;t_2;264485089#0_0;5.10;0.00;13.03;DEFAULT_VEHTYPE;602.78;5.12
0.00;89.11;t_3;264617945_0;5.10;0.00;13.89;DEFAULT_VEHTYPE;5.10;744.30
1.00;359.29;t_1;19786541#0_0;19.18;0.00;14.08;DEFAULT_VEHTYPE;264.73;45.24
1.00;359.43;t_2;264485089#0_0;18.13;0.00;13.03;DEFAULT_VEHTYPE;602.65;18.15
1.00;89.11;t_3;264617945_0;17.91;0.00;12.81;DEFAULT_VEHTYPE;17.91;744.50
2.00;359.29;t_1;19786541#0_0;33.79;0.00;14.61;DEFAULT_VEHTYPE;264.55;59.85
2.00;359.43;t_2;264485089#0_0;30.76;0.00;12.63;DEFAULT_VEHTYPE;602.53;30.77
2.00;89.11;t_3;264617945_0;31.87;0.00;13.95;DEFAULT_VEHTYPE;31.86;744.72
3.00;359.29;t_1;19786541#0_0;47.30;0.00;13.51;DEFAULT_VEHTYPE;264.38;73.35
3.00;359.43;t_2;264485089#0_0;42.87;0.00;12.12;DEFAULT_VEHTYPE;602.41;42.89
3.00;89.11;t_3;264617945_0;45.65;0.00;13.78;DEFAULT_VEHTYPE;45.64;744.93
4.00;359.29;t_1;19786541#0_0;61.80;0.00;14.51;DEFAULT_VEHTYPE;264.20;87.86
4.00;359.43;t_2;264485089#0_0;55.05;0.00;12.18;DEFAULT_VEHTYPE;602.29;55.07
4.00;89.11;t_3;264617945_0;59.29;0.00;13.65;DEFAULT_VEHTYPE;59.29;745.15
5.00;359.29;t_1;19786541#0_0;75.37;0.00;13.56;DEFAULT_VEHTYPE;264.03;101.42
5.00;359.43;t_2;264485089#0_0;67.20;0.00;12.15;DEFAULT_VEHTYPE;602.16;67.21
5.00;89.11;t_3;264617945_0;72.10;0.00;12.80;DEFAULT_VEHTYPE;72.09;745.34
6.00;359.29;t_1;19786541#0_0;88.90;0.00;13.53;DEFAULT_VEHTYPE;263.87;114.95
6.00;359.43;t_2;264485089#0_0;79.00;0.00;11.80;DEFAULT_VEHTYPE;602.05;79.01
6.00;89.11;t_3;264617945_0;85.86;0.00;13.77;DEFAULT_VEHTYPE;85.86;745.56
7.00;359.29;t_1;19786541#0_0;103.09;0.00;14.19;DEFAULT_VEHTYPE;263.69;129.14
7.00;359.73;t_2;264485089#0_0;91.64;0.00;12.64;DEFAULT_VEHTYPE;601.95;91.65
7.00;89.14;t_3;:562698874_0_0;3.81;0.00;13.14;DEFAULT_VEHTYPE;98.99;745.76
8.00;359.29;t_1;19786541#0_0;116.76;0.00;13.67;DEFAULT_VEHTYPE;263.52;142.81
8.00;359.74;t_2;264485089#0_0;103.66;0.00;12.02;DEFAULT_VEHTYPE;601.89;103.67
8.00;89.13;t_3;264617944_0;6.51;0.00;13.90;DEFAULT_VEHTYPE;112.89;745.98
9.00;359.29;t_1;19786541#0_0;131.48;0.00;14.72;DEFAULT_VEHTYPE;263.34;157.53
9.00;359.74;t_2;264485089#0_0;116.60;0.00;12.93;DEFAULT_VEHTYPE;601.84;116.61
9.00;89.13;t_3;264617944_0;20.15;0.00;13.64;DEFAULT_VEHTYPE;126.52;746.19
10.00;359.29;t_1;19786541#0_0;145.64;0.00;14.17;DEFAULT_VEHTYPE;263.16;171.70
10.00;359.29;t_2;264485089#0_0;128.75;0.00;12.15;DEFAULT_VEHTYPE;601.74;128.76
10.00;89.13;t_3;264617944_0;33.59;0.00;13.45;DEFAULT_VEHTYPE;139.97;746.39
11.00;359.29;t_1;19786541#0_0;159.18;0.00;13.53;DEFAULT_VEHTYPE;262.99;185.23
11.00;359.21;t_2;264485089#0_0;141.20;0.00;12.45;DEFAULT_VEHTYPE;601.57;141.20
11.00;89.13;t_3;264617944_0;47.62;0.00;14.02;DEFAULT_VEHTYPE;153.99;746.60
12.00;359.27;t_1;:5014559274_4_0;8.77;0.00;13.87;DEFAULT_VEHTYPE;262.82;199.09
12.00;359.21;t_2;264485089#0_0;153.22;0.00;12.03;DEFAULT_VEHTYPE;601.40;153.23
12.00;89.13;t_3;264617944_0;61.23;0.00;13.61;DEFAULT_VEHTYPE;167.60;746.81
13.00;359.27;t_1;19786541#1_0;13.74;0.00;14.37;DEFAULT_VEHTYPE;262.63;213.46
13.00;359.21;t_2;264485089#0_0;165.88;0.00;12.66;DEFAULT_VEHTYPE;601.23;165.88
13.00;89.42;t_3;264617946_0;0.80;0.00;13.37;DEFAULT_VEHTYPE;180.97;746.96
14.00;359.30;t_1;19786541#1_0;28.17;0.00;14.42;DEFAULT_VEHTYPE;262.45;227.89
14.00;359.32;t_2;:791931615_4_0;4.65;0.00;11.96;DEFAULT_VEHTYPE;601.08;177.85
14.00;89.59;t_3;264617946_0;14.56;0.00;13.76;DEFAULT_VEHTYPE;194.72;747.05
15.00;359.30;t_1;19786541#1_0;41.82;0.00;13.65;DEFAULT_VEHTYPE;262.29;241.54
15.00;359.45;t_2;:267275442_5_0;6.22;0.00;12.42;DEFAULT_VEHTYPE;600.94;190.26
15.00;89.59;t_3;264617946_0;28.45;0.00;13.90;DEFAULT_VEHTYPE;208.62;747.15
16.00;359.30;t_1;19786541#1_0;55.70;0.00;13.88;DEFAULT_VEHTYPE;262.12;255.42
16.00;359.19;t_2;264485089#2_0;8.98;0.00;12.18;DEFAULT_VEHTYPE;600.79;202.44
16.00;89.59;t_3;264617946_0;41.61;0.00;13.16;DEFAULT_VEHTYPE;221.78;747.25
